ACCT2111,Introductory Financial Accounting,3
ACCT2121,Introductory Management Accounting,3
ACCT2151,Legal Environment for Business,2
COOP1001,Greater Bay Area Field Trip,1
COOP2001,Asia Field Trip,2
COOP3001,Unlocking Employability Potential and Personal Branding,1
COOP3002,Developing Workplace Professionalism,2
COOP4001,Work Placement and Continuous Assessment,1
CSCI1120,Introduction to Computing Using C++,3
CSCI1130,Introduction to Computing Using Java,3
CSCI2040,Introduction to Python,2
CSCI2100,Data Structures,3
CSCI2520,Data Structures and Applications,3
CSCI3160,Design and Analysis of Algorithms,3
DOTE1030,Economics for Business Studies I,3
DOTE1040,Economics for Business Studies II,3
DOTE2030,Operations Management,3
DOTE2051,Business Information Systems,3
DOTE4040,Managerial Economics in the Information Age,3
DOTE4240,Supply Chain and Logistics Analytics,3
DOTE4280,Network and Security,3
ENGG1110,Problem Solving by Programming,3
ENGG1130,Multivariable Calculus for Engineers,3
ENGG2440,Discrete Mathematics for Engineers,3
FINA2010,Financial Management,3
FINA3080,Investment Analysis and Portfolio Management,3
FINA4110,Options and Futures,3
FINA4120,Fixed Income Securities Analysis,3
IBBA3010,Issues in Business,2
IBBA3020,Corporate Social Responsibilities: Distinguished Speaker Series,1
IBBA3031,Corporate Project,1
IBBA3032,Corporate Project,2
IBBA3040,Business Lecture Series,1
IERG2051,Signals and Systems,3
IERG2310,Principles of Communication Systems,3
IERG2470,Probability Models and Applications,3
IERG3010,Digital Communications,3
IERG3050,Simulation and Statistical Analysis,3
IERG3060,Microcontrollers and Embedded Systems,3
IERG3080,Information and Software Engineering Practice,3
IERG3280,"Networks: Technology, Economics, and Social Interactions",3
IERG3310,Computer Networks,3
IERG3320,Social Media and Human Information Interaction,3
IERG3810,Microcontrollers and Embedded Systems Laboratory,1
IERG3820,Communications Lab,1
IERG3830,Product Design and Development,3
IERG4004,E-payment Systems and Cryptocurrency Technologies,3
IERG4004/FTEC4004,E-payment Systems and Cryptocurrency Technologies,3
IERG4030,Optical Communications,3
IERG4080,Building Scalable Internet-based Services,3
IERG4090,Networking Protocols and Systems,3
IERG4100,Wireless Communication Systems,3
IERG4130/CSCI4130,Introduction to Cyber Security,3
IERG4150,Introduction to Cryptography,3
IERG4160,Image Processing and Visual Understanding,3
IERG4180,Network Software Design and Programming,3
IERG4190,Multimedia Coding and Processing,3
IERG4210,Web Programming and Security,3
IERG4220,Secure Software Engineering,3
IERG4230,Introduction to Internet of Things,3
IERG4300,Web-scale Information Analytics,3
IERG4330,Programming Big Data Systems,3
IERG4340,Emerging Technologies in Information Engineering,3
IERG4350,Cloud Computing Security,3
IERG4360,Blockchain and Applications,3
IERG4831,Networking Laboratory I,2
IERG4999,Final Year Project II,3
IERG5350,Reinforcement Learning,3
MATH1010,University Mathematics,3
MATH1030,Linear Algebra I,3
MATH2010,Advanced Calculus I,3
MATH2040,Linear Algebra II,3
MATH2050,Mathematical Analysis I,3
MATH2070,Algebraic Structures,3
MATH2230,Complex Variables with Applications,3
MATH3030,Abstract Algebra,3
MATH3040,Fields and Galois Theory,3
MATH3060,Mathematical Analysis III,3
MATH3070,Introduction to Topology,3
MATH3080,Number Theory,3
MATH3093,Fourier Analysis,3
MATH3215,Operations Research,3
MATH3230,Numerical Analysis,3
MATH3240,Numerical Methods for Differential Equations,3
MATH3260,Graph Theory,3
MATH3270,Ordinary Differential Equations,3
MATH3280,Introductory Probability,3
MATH3290,Mathematical Modelling,3
MATH3310,Computational and Applied Mathematics,3
MATH3320,Foundation of Data Analytics,3
MATH3330,Big Data Computing,3
MATH3360,Mathematical Imaging,3
MATH4010,Functional Analysis,3
MATH4030,Differential Geometry,3
MATH4050,Real Analysis,3
MATH4060,Complex Analysis,3
MATH4080,Modules and Representation Theory,3
MATH4210,Financial Mathematics,3
MATH4220,Partial Differential Equations,3
MATH4230,Optimization Theory,3
MATH4240,Stochastic Processes,3
MATH4250,Game Theory,3
MATH4280,Innovation and Design in Big Data Analytics,3
MATH4900,Seminar,3
MGNT1020,Management,3
MGNT2511,Global Experiential Learning I,1
MGNT2512,Global Experiential Learning II,1
MGNT2611,Business Sustainability,2
MGNT3010,Organizational Behaviour,3
MGNT3070,Opportunities’ Catching: Strategic Insights and Analysis,3
MGNT4010,Strategic Management,3
MGNT4090,Technology and Innovation Management,3
MKTG2010,Marketing Management,3
MKTG3010,Marketing Research,3
MKTG3030,Integrated Marketing Communication,3
MKTG4040,Strategic Marketing,3
RMSC4002,Financial Data Analytics with Machine Learning,3
RMSC4003,Statistical Modelling in Financial Markets,3
RMSC4007,Risk Management with Derivatives Concepts,3
SEEM2420,Operations Research I,3
SEEM2460,Introduction to Data Science,3
SEEM2602,Systems Engineering Practicum,1
SEEM3410,System Simulation,3
SEEM3430,Information Systems Analysis and Design,3
SEEM3440,Operations Research II,3
SEEM3450,Engineering Innovation and Entrepreneurship,3
SEEM3490,Information Systems Management,3
SEEM3550,Fundamentals in Information Systems,3
SEEM3580,Risk Analysis for Financial Engineering,3
SEEM3620,Introduction to Logistics and Supply Chain Management,3
SEEM3650,Fundamentals in Decision and Data Analytics,3
SEEM4540,Open Systems for E-Commerce,3
SEEM4570,System Design and Implementation,3
SEEM4630,E-Commerce Data Mining,3
SEEM4730,Statistics Modeling and Analysis in Financial Engineering,3
SEEM4750,Advances in Logistics and Supply Chain Management,3
SEEM4760,Stochastic Models for Decision Analytics,3
SEEM4999,Final Year Project II,3
STAT2001,Basic Concepts in Statistics and Probability I,3
STAT2006,Basic Concepts in Statistics and Probability II,3
STAT2011,Workshop on Data Exploration and Technical Writing,3
STAT3003,Survey Methods,3
STAT3005,Nonparametric Statistics,3
STAT3006,Statistical Computing,3
STAT3007,Introduction to Stochastic Processes,3
STAT3008,Applied Regression Analysis,3
STAT3011,Workshop on Data Analysis and Statistical Computing,3
STAT4001,Data Mining and Statistical Learning,3
STAT4003,Statistical Inference,3
STAT4005,Time Series,3
STAT4006,Categorical Data Analysis,3
STAT4010,Bayesian Learning,3
STAT4011,Statistics Projects,3
STAT4012,Statistical Principles of Deep Learning with Business Applications,3
ACT2111,Introductory Financial Accounting,3
ACT4253,Business Ethics and Corporate Social Responsibility,3
CSC1001,Introduction to Computer Science: Programming Methodology,3
CSC1002,Computational Laboratory,1
CSC2003,Introduction to Java Programming,3
CSC3002,C/C++ Programming,3
CSC3050,Computer Architecture,3
CSC3100,Data Structures,3
CSC3120,Principles of Programming Languages,3
CSC3150,Operating System,3
CSC3160,Fundamentals of Speech and Language Processing,3
CSC3170,Database System,3
CSC3180,Fundamentals of Artificial Intelligence,3
CSC3185,Introduction to Multimedia Systems,3
CSC4001,Software Engineering,3
CSC4005,Parallel Programming,3
CSC4008,Techniques for Data Mining,3
CSC4051,Computing Capstone for Interdisciplinary Studies,3
CSC4100,Natural Language Processing,3
CSC4120,Design and Analysis of Algorithms,3
CSC4130,Introduction to Human-Computer Interaction,3
CSC4140,Computer Graphics,3
CSC4150,Mobile Computing with Internet of Things,3
CSC4160,Cloud Computing,3
CSC4180,Compiler Construction,3
CSC4190,Internet Programming and Applications,3
DDA2081,Independent Study I,3
DDA3005,Numerical Methods,3
DDA3020,Machine Learning,3
DDA4002,Stochastic Simulation,3
DDA4010,Bayesian Statistics,3
DDA4210,Advanced Machine Learning,3
DDA4220,Deep Learning and Applications,3
DDA4230,Reinforcement Learning,3
DDA4240,Data Privacy and Ethics,3
DDA4250,Mathematical Introduction to Deep Learning,3
DDA4260,Networked Life,3
DMS2030,Operations Management,3
DMS3002,Applied Probability and Stochastic Process in Business,3
ECE1810,Electronic Circuit Design Laboratory,1
ECE2001,Basic Circuit Theory,3
ECE2050,Digital Logic and Systems,3
ECE2810,Digital Systems Design Laboratory,1
ECE3001,Signals and Systems,3
ECE3050,Principles of Communication Systems,3
ECE3060,Introduction to Robotics,3
ECE3080,Introduction to Embedded Systems,3
ECE3201,Introduction to Microelectronic Circuits,3
ECE3202,Analog Integrated Circuits,3
ECE3280,"Networks: Technology, Economics and Society",3
ECE3510,Digital Signal Processing,3
ECE3810,Embedded Systems Laboratory,1
ECE4002,Digital Communications,3
ECE4003,Wireless Communication Systems,3
ECE4004,Introduction to Optical Communications,3
ECE4007,Computer and Network Security,3
ECE4010,Machine Intelligence and Applications,3
ECE4011,Robotics and Intelligent Systems,3
ECE4016,Computer Networks,3
ECE4020,Telecommunication Switching and Network Systems,3
ECE4050,Principles and Practices of Communication Networks,3
ECE4102,CMOS Digital Integrated Circuits Design,3
ECE4152,Mobile Application Design & Implementation,3
ECE4180,Network Software Design and Programming,3
ECE4190,Multimedia Coding and Networking,3
ECE4200,Human-Computer Interaction,3
ECE4300,Systems Design in Human-Computer Interaction,3
ECE4310,Programming for Robotics,3
ECE4213,Radio Frequency Integrated Circuits,3
ECE4512,Digital Image Processing,3
ECE4513,Image Processing and Computer Vision,3
ECE4520,3D Data Processing,3
ECO2011,Basic Microeconomics,3
ECO3121,Introductory Econometrics,3
ECO3160,Game Theory and Business Strategy,3
ERG3020,Web Analytics and Intelligence,3
ERG4902,Capstone Project Ⅱ,3
FIN2010,Financial Management,3
FIN3080,Investment Analysis and Portfolio Management,3
FIN3210,Fintech Theory and Practice,3
FIN4060,Financial Markets in China and the World,3
FIN4080,Behavioral Finance,3
FIN4110,Options and Futures,3
FIN4120,Fixed Income Securities Analysis,3
FIN4210,Corporate Finance,3
FIN4231,Asset Pricing,3
FMA4200,Financial Data Analysis,3
FMA4800,Financial Computation,3
FTE2001,FinTech Regulation and Legal Policy,3
FTE4003,Data Mining for FinTech,3
FTE4999,Internship,3
MAT1001,Calculus I,3
MAT1002,Calculus II,3
MAT2001,Honours Ordinary Differential Equations,3
MAT2002,Ordinary Differential Equations,3
MAT2050,Mathematical Analysis,3
MAT3006,Real Analysis,3
MAT3007,Optimization,3
MAT3040,Advanced Linear Algebra,3
MAT3220,Optimization II,3
MAT3253,Complex Variables,3
MAT3280,Probability Theory,3
MAT3300,Mathematical Modeling,3
MAT3350,Introduction to Information Theory,3
MAT4001,Numerical Analysis,3
MAT4002,Introduction to Geometry and Topology,3
MAT4004,Graph Theory,3
MAT4006,Introduction to Coding Theory,3
MAT4007,Introduction to Cryptography,3
MAT4010,Functional Analysis,3
MAT4033,Differential Geometry,3
MAT4220,Partial Differential Equation,3
MAT4240,Numerical Methods for Differential Equations,3
MAT4400,Project,3
MAT4500,Stochastic Differential Equations,3
MGT3010,Organizational Behavior,3
MGT3250,International Business,3
MGT4030,Creating Presentation Self-Efficacy and Communicating with Impact,3
MGT4187,Managerial Analytics,3
MGT4210,Decision Making and Negotiation,3
MGT4230,Innovation and Entrepreneurship,3
MKT2010,Marketing Management,3
MKT3020,Consumer Behavior,3
MKT3030,Integrated Marketing Communication,3
MKT3050,Global Marketing,3
MKT3080,Strategic Media Planning,3
MKT3310,Marketing Analytics,3
MKT4020,E-tailing and Retailing,3
MKT4030,Service Marketing,3
MKT4040,Strategic Marketing,3
MKT4080,Digital and Social Media Marketing Strategy,3
MKT4110,Strategic Brand Management,3
MKT4120,Marketing Research,3
MKT4150,Pricing Strategy,3
MKT4220,Big Data Marketing,3
MKT4230,Case Study Analysis for Marketing Decisions,3
MKT4312,Directed Research in Marketing and Communication I,3
MKT4930,Advanced Theory and Issues in Outdoor Advertising,3
RMS4001,Simulation Methods for Risk Management and Finance,3
RMS4050,Stochastic Calculus for Finance and Risk,3
RMS4060,Risk Management with Derivatives,3
STA2002,Probability and Statistics II,3
STA2002H,Honours Probability and Statistics II,3
STA3001,Linear Models,3
STA3005,Statistical Computing,3
STA3006,Design and Analysis of Experiments,3
STA3007,Nonparametric Statistics,3
STA3020,Statistical Inference,3
STA3030,Survey Sampling,3
STA4001,Stochastic Processes,3
STA4002,Multivariate Statistical Analysis,3
STA4003,Time Series,3
STA4005,Survival Modelling,3
STA4010,Selected Topics in Statistics I,3
STA4011,Selected Topics in Statistics Ⅱ,3
STA4020,Statistical Modelling in Financial Markets,3
STA4030,Categorical Data Analysis,3
STA4050,Statistical Capstone,3
STA4100,Statistical Inference II,3
STA4102,Generalized Linear Models,3